,0-4 years,,5-24 years,,25-49 years,,50-64 years,,65+ years,
Week,Total Visits,ILI,Total Visits,ILI,Total Visits,ILI,Total Visits,ILI,Total Visits,ILI
202044,52960,3.2,202457,1.6,373603,1.1,206323,0.9,234413,0.7
202045,54741,3.2,211682,1.8,382998,1.3,209799,1.1,237931,0.7
202046,55200,3.3,212798,1.7,400934,1.3,220833,1.2,244657,0.9
202047,54648,3.3,206264,1.7,389064,1.4,214503,1.3,239384,0.9
202048,50609,3.4,180126,1.7,360717,1.4,202260,1.4,234323,1
202049,51584,3.3,190611,1.7,378394,1.4,208584,1.3,239536,0.9
202050,51236,3.2,193420,1.5,380620,1.4,213698,1.3,246300,1
202051,51555,3.2,187038,1.5,374074,1.3,209850,1.3,244046,0.9
202052,48464,3.2,166284,1.5,348846,1.4,199740,1.4,237696,1.1
202053,50979,3.5,180755,1.6,382017,1.5,215249,1.5,248657,1.1
202101,52419,2.9,195655,1.6,396147,1.4,219335,1.4,251006,1
202102,53027,3.1,193696,1.4,374293,1.2,209323,1.2,247830,0.8
202103,55581,3.2,195529,1.4,374108,1.1,207945,1.1,239181,0.7
202104,54541,3.3,195695,1.4,367498,1,203682,1,232783,0.7
202105,54084,3.3,192959,1.3,360908,0.9,201350,0.8,232763,0.6
202106,54031,3.4,187624,1.3,352245,0.8,196508,0.7,227894,0.5
202107,52352,3.2,180416,1.2,343218,0.7,194206,0.7,223146,0.5
202108,58442,3.1,204064,1.1,373633,0.7,212317,0.6,244559,0.4
202109,60424,3.2,205401,1.1,369342,0.7,208888,0.6,244291,0.4
202110,63520,3.6,210096,1.2,370163,0.7,210270,0.6,245514,0.4
202111,63547,4,205731,1.2,369816,0.8,209348,0.6,244925,0.4
202112,68106,4.1,218875,1.2,382389,0.8,214938,0.7,251999,0.4
202113,70773,4.5,222007,1.3,390624,0.8,216920,0.7,251366,0.3
202114,76006,4.7,238387,1.4,409879,0.9,225951,0.7,260023,0.4
202115,77237,5.2,243547,1.4,423463,0.9,232601,0.7,261926,0.4
202116,77895,5.7,240910,1.5,412786,0.9,225785,0.7,256644,0.4
202117,82207,5.9,249464,1.6,415726,0.9,226778,0.6,259264,0.4
202118,80201,6.3,239940,1.6,404081,0.8,220047,0.6,251448,0.4
202119,81950,6.7,234658,1.7,395305,0.8,217319,0.6,251446,0.4
202120,87063,7.1,245535,1.6,414282,0.8,229746,0.5,266758,0.4
202121,87064,6.8,236871,1.6,412109,0.7,229252,0.5,269298,0.3
202122,87397,7.3,227248,1.6,402793,0.7,221961,0.5,261134,0.4
202123,88159,6.9,236603,1.5,419875,0.7,234395,0.5,272351,0.3
202124,89852,7.2,236317,1.5,418718,0.7,234555,0.5,271142,0.3
202125,89324,7.3,232565,1.5,417090,0.7,232528,0.5,269262,0.4
202126,90946,7.1,236283,1.5,423372,0.7,233968,0.5,273347,0.4
202127,93829,7.2,241229,1.7,435807,0.9,240337,0.7,277221,0.4
202128,96570,7.2,249620,1.8,453313,1.1,248191,0.8,281763,0.5
202129,100142,7.9,256916,2.1,462752,1.4,251933,0.9,283467,0.6
202130,104259,8.3,272567,2.4,482572,1.5,257726,1.1,285630,0.7
202131,102374,8.5,273773,2.5,485668,1.7,258925,1.3,284384,0.8
202132,100777,8.4,279249,2.6,491923,1.8,262404,1.4,284248,0.8
202133,100911,8.9,292690,3.1,481839,1.8,257260,1.5,277209,0.8
202134,104178,8.9,308268,3.3,477998,1.7,252926,1.3,274001,0.8
202135,101916,8.9,298497,3.3,456589,1.6,243591,1.2,270145,0.8
202136,97424,9,277606,3.2,430967,1.6,229909,1.2,253582,0.8
